CUSTOMER_NAME|CUSTOMER_TYPE_CODE|TOTAL_SUBMITTED|TOTAL_DELIVERED|TOTAL_DELIVERED_PCT|YESTERDAY_SUBMITTED|YESTERDAY_DELIVERED|YESTERDAY_DELIVERED_PCT
GLOBAL SERVICES|PRE|0|0|0%|0|0|0%
GO 2 MARKET INDIA PRIVATE LIMITED|POST|0|0|0%|0|0|0%
GOLDEN TOUCH INVESTMENTS|PRE|0|0|0%|0|0|0%
GP PARSIK SAHAKARI BANK LIMITED|POST|0|0|0%|0|0|0%
HIND ADSOFT PRIVATE LIMITED|POST|0|0|0%|0|0|0%
HOTSPOTHUB TECHNOLOGY(OPC) PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
INGENYRIA ELECTRICAL MART PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
INTERNATIONAL TRACTORS LIMITED|PRE|0|0|0%|0|0|0%
JAGAT PHARMA PRIVATE LIMITED|POST|0|0|0%|0|0|0%
JIVA AYURVEDIC PHARMACY LIMITED|POST|0|0|0%|0|0|0%
KAJREE|PRE|0|0|0%|0|0|0%
KOKAN MERCANTILE CO-OPERATIVE BANK LTD|POST|0|0|0%|0|0|0%
KONCEPTWISE DIGITAL MEDIA PVT. LTD|POST|0|0|0%|0|0|0%
MANISH PURWAR|PRE|0|0|0%|0|0|0%
MASTERMIND SERVICES|POST|0|0|0%|0|0|0%
MAVYAH TECHNOLOGIES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
MESSAGEBYTE TECHNOLOGIES PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
MITHRA IT SOLUTIONS|PRE|0|0|0%|0|0|0%
MOBIROUTE TELESERVICES PVT LTD|POST|0|0|0%|0|0|0%
MUZZTECH WIRELESS PRIVATE LIMITED|POST|0|0|0%|0|0|0%
NKMB TECH PRIVATE LIMITED|POST|0|0|0%|0|0|0%
NXFIN TECHNOLOGIES PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
OBICAS INFOTECH|POST|0|0|0%|0|0|0%
OMATICS DIGITAL & MARKETING PVT LTD|POST|0|0|0%|0|0|0%
PAASOO TECHNOLOGY INDIA PRIVATE LIMITED|POST|0|0|0%|0|0|0%
PARAHIT TECHNOLOGIES LIMITED|POST|0|0|0%|0|0|0%
PARV COMMUNICATIONS PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
PEOPLE BRIDGES|PRE|0|0|0%|0|0|0%
PITCHMAN REALTORS LLP|PRE|0|0|0%|0|0|0%
PRESFOUR LLP|PRE|0|0|0%|0|0|0%
PROACTIVE PROFESSIONAL SERVICES PVT LTD|POST|0|0|0%|0|0|0%
PRP SERVICES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
QUEST SOLUTIONS|PRE|0|0|0%|0|0|0%
RAGHAVIIZ DIGITAL MEDIA|POST|0|0|0%|0|0|0%
REFINED IT SOLUTIONS AND MARKETING PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
RINGING INFOTECH|PRE|0|0|0%|0|0|0%
RUBIA SERVICES (OPC) PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
SAET AGENCY PRIVATE LIMITED|POST|0|0|0%|0|0|0%
SANDESHTECH PLATFORMS PRIVATE LIMITED|POST|0|0|0%|0|0|0%
S AND S SOLUTIONS|POST|0|0|0%|0|0|0%
SATIN CREDITCARE NETWORK LIMITED|POST|0|0|0%|0|0|0%
SBI GLOBAL FACTORS LTD|POST|0|0|0%|0|0|0%
SEVEN OCEANS TELESERVICES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
SHELTER LAYOUTS PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
SHINE NETCORE|PRE|0|0|0%|0|0|0%
SIMPLIFIED FINANCIAL SOLUTIONS PRIVATE LIMITED|POST|0|0|0%|0|0|0%
SK BHARTI TRADING COMPANY|PRE|0|0|0%|0|0|0%
SOFTQORE - MANU GEORGE|PRE|0|0|0%|0|0|0%
SOUTH CITY SCHOOL|PRE|0|0|0%|0|0|0%
SPENCER'S RETAIL LIMITED|POST|0|0|0%|0|0|0%
SPICELEX TECHNOLOGY PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
TALGO TELECOMMUNICATION (OPC) PRIVATE LIMITED|POST|0|0|0%|0|0|0%
TANISH MARKETING AND SERVICES|PRE|0|0|0%|0|0|0%
TEAMWORK INNOVATIONS PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
TELEBU COMMUNICATIONS LLP |POST|0|0|0%|0|0|0%
TELEOPEDIA COMMUNICATIONS|PRE|0|0|0%|0|0|0%
TELEOPEDIA|POST|0|0|0%|0|0|0%
TEST ANANYA|PRE|0|0|0%|0|0|0%
TUBELIGHT COMMUNICATIONS LIMITED|POST|0|0|0%|0|0|0%
U2OPIA MOBILE PRIVATE LIMITED|POST|0|0|0%|0|0|0%
UPKARMA|PRE|0|0|0%|0|0|0%
VALUEMOBI MEDIA PRIVATE LIMITED|POST|0|0|0%|0|0|0%
VALUE ONE DIGITAL MEDIA|POST|0|0|0%|0|0|0%
VA NETWORKS|PRE|0|0|0%|0|0|0%
VENETS MEDIA PVT LTD|PRE|0|0|0%|0|0|0%
VONVIC SOFTWARES PVT LTD|PRE|0|0|0%|0|0|0%
WEBCZAR SOLUTIONS|PRE|0|0|0%|0|0|0%
WEBERLEADS SERVICES PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
WEBMATRIX DIGITAL SERVICES|POST|0|0|0%|0|0|0%
WELLEN TECHNOLOGY PRIVATE LIMITED|PRE|0|0|0%|0|0|0%
WINTECH DIGITAL SOLUTIONS LLP|PRE|0|0|0%|0|0|0%
WORDBOX SERVICES PRIVATE LIMITED|POST|0|0|0%|0|0|0%
XTEND MARKTING SERVICES|PRE|0|0|0%|0|0|0%
TOTAL||372988896|275596243|73%|22736494|17326944|76%
