FILE_NAME|INFOBIP_FILE_COUNT|CDR_LOAD_DATE|DB_FILE_COUNT|DIFFERENCES
15102024_6200|10508|2024-10-15 06:42:02|10508|0
15102024_6202|6507|2024-10-15 06:52:01|6507|0
15102024_6204|7571|2024-10-15 07:01:01|7571|0
15102024_6206|9448|2024-10-15 07:11:01|9448|0
15102024_6208|7693|2024-10-15 07:21:01|7693|0
15102024_6210|7967|2024-10-15 07:30:01|7967|0
15102024_6212|13372|2024-10-15 07:40:02|13372|0
15102024_6214|8993|2024-10-15 07:50:01|8993|0
15102024_6216|8635|2024-10-15 08:00:01|8635|0
15102024_6218|11156|2024-10-15 08:10:01|11156|0
15102024_6220|8936|2024-10-15 08:20:01|8936|0
15102024_6222|12224|2024-10-15 08:29:02|12224|0
15102024_6224|13479|2024-10-15 08:39:02|13479|0
15102024_6226|30220|2024-10-15 08:48:02|30220|0
15102024_6228|22107|2024-10-15 08:58:02|22107|0
15102024_6230|17360|2024-10-15 09:08:01|17360|0
15102024_6232|18042|2024-10-15 09:18:02|18042|0
15102024_6234|19270|2024-10-15 09:28:02|19270|0
15102024_6236|21858|2024-10-15 09:37:02|21858|0
15102024_6238|21109|2024-10-15 09:47:02|21109|0
15102024_6239|3|2024-10-15 09:48:01|3|0
15102024_6241|22330|2024-10-15 09:59:02|22330|0
15102024_6242|9|2024-10-15 10:00:01|9|0
15102024_6244|53991|2024-10-15 10:09:02|53991|0
15102024_6246|26954|2024-10-15 10:19:02|26954|0
15102024_6247|2873|2024-10-15 10:20:01|2873|0
15102024_6249|34846|2024-10-15 10:30:02|34846|0
15102024_6252|68046|2024-10-15 10:40:03|68046|0
15102024_6254|54641|2024-10-15 10:49:03|54641|0
15102024_6255|11564|2024-10-15 10:52:02|11564|0
15102024_6257|42927|2024-10-15 11:02:02|42927|0
15102024_6259|48869|2024-10-15 11:11:02|48869|0
15102024_6261|43885|2024-10-15 11:21:02|43885|0
15102024_6263|41033|2024-10-15 11:30:02|41033|0
15102024_6265|11835|2024-10-15 11:36:02|11835|0
15102024_6266|12635|2024-10-15 11:40:01|12635|0
15102024_6269|100123|2024-10-15 11:50:04|100123|0
15102024_6271|48969|2024-10-15 11:59:02|48969|0
15102024_6273|49785|2024-10-15 12:09:02|49785|0
15102024_6275|31277|2024-10-15 12:19:02|31277|0
15102024_6277|10218|2024-10-15 12:20:01|10218|0
15102024_6278|39530|2024-10-15 12:28:02|39530|0
