2024-10-13|ALTTRN|1183612|759201|424411|NEXG|2024-10-16 08:09:34
2024-10-13|ALTTRN1|1082815|687823|394992|NEXG|2024-10-16 08:09:34
2024-10-13|ALTTRN2|194049|158730|35319|NEXG|2024-10-16 08:09:34
2024-10-13|ALTTRN3|1098099|698128|399971|NEXG|2024-10-16 08:09:34
2024-10-13|AURUMTRN|66555|65227|1328|NEXG|2024-10-16 08:09:34
2024-10-13|CERFPSU|123393|77484|45909|NEXG|2024-10-16 08:09:34
2024-10-13|CERFPSU1|19742|18386|1356|NEXG|2024-10-16 08:09:34
2024-10-13|CERFPSU2|32|28|4|NEXG|2024-10-16 08:09:34
2024-10-13|CERFTRN|1243|1205|38|NEXG|2024-10-16 08:09:34
2024-10-13|CPOTPJIO|6|6|0|NEXG|2024-10-16 08:09:34
2024-10-13|CPTRNJIO|293|240|53|NEXG|2024-10-16 08:09:34
2024-10-13|DIGILYAOTPV|420204|414960|5244|NEXG|2024-10-16 08:09:34
2024-10-13|ENGNTRN1|120036|114835|5201|NEXG|2024-10-16 08:09:34
2024-10-13|FBMDTCHTRN2|1067710|763492|304218|NEXG|2024-10-16 08:09:34
2024-10-13|GETWAYOTP|257|244|13|NEXG|2024-10-16 08:09:34
2024-10-13|GLOBEOTP|531|479|52|NEXG|2024-10-16 08:09:34
2024-10-13|INBOTP1|17108|4479|12629|NEXG|2024-10-16 08:09:34
2024-10-13|INBTRN1|7|7|0|NEXG|2024-10-16 08:09:34
2024-10-13|INBTRN3|11|10|1|NEXG|2024-10-16 08:09:34
2024-10-13|INBTRNPSU7|959377|772764|186613|NEXG|2024-10-16 08:09:34
2024-10-13|INBTRNPSU8|690494|537226|153268|NEXG|2024-10-16 08:09:34
2024-10-13|INBTRNPSU9|654348|510185|144163|NEXG|2024-10-16 08:09:34
2024-10-13|INFDIGOTP|72932|60551|12381|NEXG|2024-10-16 08:09:34
2024-10-13|INFDIGTRN|228938|221822|7116|NEXG|2024-10-16 08:09:34
2024-10-13|MDZMBLTRN1|49013|32156|16857|NEXG|2024-10-16 08:09:34
2024-10-13|MICRONTTRN|66590|58741|7849|NEXG|2024-10-16 08:09:34
2024-10-13|MISHTELGOV1|577|501|76|NEXG|2024-10-16 08:09:34
2024-10-13|MSG91OTP1|60|30|30|NEXG|2024-10-16 08:09:34
2024-10-13|MSG91OTP2|11|3|8|NEXG|2024-10-16 08:09:34
2024-10-13|MSG91TRANS3|95995|68370|27625|NEXG|2024-10-16 08:09:34
2024-10-13|NSTCHTRN|5|0|5|NEXG|2024-10-16 08:09:34
2024-10-13|RPINFOT|3993|1619|2374|NEXG|2024-10-16 08:09:34
2024-10-13|RPINFOT2|685|393|292|NEXG|2024-10-16 08:09:34
2024-10-13|SHIVCOMOTP|1786|1684|102|NEXG|2024-10-16 08:09:34
2024-10-13|SHREERADHAO|10588|8180|2408|NEXG|2024-10-16 08:09:34
2024-10-13|SITANITRNT|898|811|87|NEXG|2024-10-16 08:09:34
